sku	title	brand_sku	brand	model	type	color	diameter	pn	pcd	pcd2	et	centerbore	sale	price	price_retail	photo_url	amount_total	amount_local	amount shopId 1	amount shopId 4	amount shopId 7	amount shopId 8	amount shopId 9	amount shopId 10	amount shopId 12	amount shopId 13	amount shopId 14	amount shopId 15	amount shopId 16	amount shopId 17	amount shopId 19	amount shopId 20	amount shopId 21	amount shopId 22	amount shopId 23	amount shopId 24	amount shopId 25	amount shopId 26	amount shopId 30	amount shopId 33	amount shopId 35	amount shopId 36	amount shopId 37	amount shopId 635	amount shopId 667	amount shopId 669	amount shopId 671	amount shopId 678	amount shopId 712	amount shopId 714	amount shopId 716	amount shopId 718	amount shopId 719	amount shopId 722	amount shopId 723	amount shopId 3012
865777	Скад KL-296 16 / 6.0J PCD 4x100.0 ET 41.00 ЦО 60.10 Литой / Черный с полированной лицевой поверхностью	3060105	Скад	KL-296	Литой / Черный с полированной лицевой поверхностью	BFP	16 / 6.0J	4	100.0	0.0	41.00	60.10	0	6190	6890	https://www.shinservice.ru/catalog/disk/skad/KL-296.bfp.jpg	20	20	0	0	0	0	0	0	8	0	0	0	4	0	4	0	0	0	4	0	4	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
865778	Скад KL-296 16 / 6.0J PCD 4x100.0 ET 41.00 ЦО 60.10 Литой / Насыщенный серебристый	3060108	Скад	KL-296	Литой / Насыщенный серебристый	HS	16 / 6.0J	4	100.0	0.0	41.00	60.10	0	5890	6560	https://www.shinservice.ru/catalog/disk/skad/KL-296.hs.jpg	20	20	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	4	0	0	0	0	0	4	0	4	0	0	0
865779	Скад KL-296 16 / 6.0J PCD 4x100.0 ET 41.00 ЦО 60.10 Литой / Серый глянцевый	3060161	Скад	KL-296	Литой / Серый глянцевый	Artic_grey	16 / 6.0J	4	100.0	0.0	41.00	60.10	0	5890	6560	https://www.shinservice.ru/catalog/disk/skad/KL-296.artic_grey.jpg	20	20	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	8	4	0	0	0	0	4	0	0	0	0	0	0	4	4	0	0	0	0	0
865780	Скад Stiletto 18 / 8.0J PCD 5x112.0 ET 38.00 ЦО 66.60 Литой / Насыщенный серебристый	1861008	Скад	Stiletto	Литой / Насыщенный серебристый	HS	18 / 8.0J	5	112.0	0.0	38.00	66.60	0	8490	9450	https://www.shinservice.ru/catalog/disk/skad/Stiletto.hs.jpg	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3
865781	Скад Самурай 15 / 6.0J PCD 4x100.0 ET 46.00 ЦО 54.10 Литой / Насыщенный серебристый	1021408	Скад	Самурай	Литой / Насыщенный серебристый	HS	15 / 6.0J	4	100.0	0.0	46.00	54.10	0	5470	6100	https://www.shinservice.ru/catalog/disk/skad/Самурай.hs.jpg	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
865782	Скад Тор 18 / 8.0J PCD 6x139.7 ET 25.00 ЦО 106.20 Литой / Черный матовый	2450025	Скад	Тор	Литой / Черный матовый	MB	18 / 8.0J	6	139.7	0.0	25.00	106.20	0	8490	9450	https://www.shinservice.ru/catalog/disk/skad/Тор.mb.jpg	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	4	0	0	0
865785	Скад Сидней 16 / 6.0J PCD 5x114.3 ET 46.00 ЦО 67.10 Литой / Насыщенный серебристый	3150408	Скад	Сидней	Литой / Насыщенный серебристый	HS	16 / 6.0J	5	114.3	0.0	46.00	67.10	0	6220	6930	https://www.shinservice.ru/catalog/disk/skad/Сидней.hs.jpg	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
865787	КиК Samara-Оригинал 16 / 6.0J PCD 4x100.0 ET 50.00 ЦО 60.10 Литой / Насыщенный серебристый	r74595SK	КиК	Samara-Оригинал	Литой / Насыщенный серебристый	HS	16 / 6.0J	4	100.0	0.0	50.00	60.10	0	6290	7000	https://www.shinservice.ru/catalog/disk/kik/Samara-Оригинал.hs.jpg	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0
865788	КиК Модена-Оригинал 15 / 6.0J PCD 4x100.0 ET 46.00 ЦО 54.10 Литой / Черный глянцевый с полированной лицевой поверхностью	r74554SK	КиК	Модена-Оригинал	Литой / Черный глянцевый с полированной лицевой поверхностью	GBFP	15 / 6.0J	4	100.0	0.0	46.00	54.10	0	5880	6550	https://www.shinservice.ru/catalog/disk/kik/Модена-Оригинал.gbfp.jpg	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
865799	iFree Big Byz 17 / 7.0J PCD 5x100.0 ET 40.00 ЦО 57.10 Литой / Серебристый	327206	iFree	Big Byz	Литой / Серебристый	S	17 / 7.0J	5	100.0	0.0	40.00	57.10	0	6520	7260	https://www.shinservice.ru/catalog/disk/ifree/Big_Byz.s.jpg	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
865800	iFree Big Byz 17 / 7.0J PCD 5x100.0 ET 48.00 ЦО 56.10 Литой / Антрацитовый	327518	iFree	Big Byz	Литой / Антрацитовый	HB	17 / 7.0J	5	100.0	0.0	48.00	56.10	0	6520	7260	https://www.shinservice.ru/catalog/disk/ifree/Big_Byz.hb.jpg	4	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
865802	iFree Big Byz 17 / 7.0J PCD 5x114.3 ET 39.00 ЦО 60.10 Литой / Черный с полированной лицевой поверхностью	327805	iFree	Big Byz	Литой / Черный с полированной лицевой поверхностью	BFP	17 / 7.0J	5	114.3	0.0	39.00	60.10	0	7080	7890	https://www.shinservice.ru/catalog/disk/ifree/Big_Byz.bfp.jpg	15	15	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3
865804	iFree Big Byz 17 / 7.0J PCD 5x114.3 ET 39.00 ЦО 60.10 Литой / Антрацитовый	327505	iFree	Big Byz	Литой / Антрацитовый	HB	17 / 7.0J	5	114.3	0.0	39.00	60.10	0	6520	7260	https://www.shinservice.ru/catalog/disk/ifree/Big_Byz.hb.jpg	3	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
865806	iFree Big Byz 17 / 7.0J PCD 5x114.3 ET 40.00 ЦО 66.10 Литой / Серебристый	327207	iFree	Big Byz	Литой / Серебристый	S	17 / 7.0J	5	114.3	0.0	40.00	66.10	0	6520	7260	https://www.shinservice.ru/catalog/disk/ifree/Big_Byz.s.jpg	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
865808	iFree Big Byz 17 / 7.0J PCD 5x114.3 ET 45.00 ЦО 60.10 Литой / Серебристый	327215	iFree	Big Byz	Литой / Серебристый	S	17 / 7.0J	5	114.3	0.0	45.00	60.10	0	6520	7260	https://www.shinservice.ru/catalog/disk/ifree/Big_Byz.s.jpg	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
